Date,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2023-10-19,149.903,149.959,149.663,149.771,334152250380,3,Thursday,,
2023-10-20,149.771,149.992,149.639,149.803,289833279830,4,Friday,,
2023-10-23,149.839,149.989,149.554,149.693,231364250360,0,Monday,0.036,0.024
2023-10-24,149.693,149.929,149.32,149.891,283412250090,1,Tuesday,,
2023-10-25,149.889,150.315,149.793,150.199,224886739950,2,Wednesday,,
2023-10-26,150.182,150.776,149.83,150.349,348286150360,3,Thursday,,
2023-10-27,150.35,150.411,149.459,149.599,308085000490,4,Friday,,
2023-10-29,149.47,149.577,149.47,149.559,467070000,6,Sunday,,
2023-10-30,149.557,149.853,148.804,149.053,303051490350,0,Monday,-0.002,-0.0013
2023-10-31,149.052,151.716,149.019,151.621,383793589750,1,Tuesday,,
2023-11-01,151.619,151.628,150.66,150.902,345293409310,2,Wednesday,,
2023-11-02,150.901,150.927,149.843,150.436,306486339690,3,Thursday,,
2023-11-03,150.436,150.517,149.181,149.318,228041689880,4,Friday,,
2023-11-06,149.319,150.08,149.311,150.057,205551440250,0,Monday,0.001,0.0007
2023-11-07,150.057,150.691,149.914,150.306,275997339970,1,Tuesday,,
2023-11-08,150.307,151.056,150.298,150.954,273507819940,2,Wednesday,,
2023-11-09,150.953,151.386,150.768,151.335,304548319710,3,Thursday,,
2023-11-10,151.333,151.6,151.22,151.472,258836839720,4,Friday,,
2023-11-13,151.42,151.907,151.202,151.705,226205570350,0,Monday,-0.052,-0.0343
2023-11-14,151.704,151.782,150.154,150.358,278622170630,1,Tuesday,,
2023-11-15,150.358,151.42,150.047,151.317,314580800190,2,Wednesday,,
2023-11-16,151.311,151.429,150.285,150.718,297014170680,3,Thursday,,
2023-11-17,150.703,150.774,149.196,149.506,360452500040,4,Friday,,
2023-11-20,149.575,149.988,148.1,148.356,409235449490,0,Monday,0.069,0.0462
2023-11-21,148.356,148.594,147.149,148.38,457352979970,1,Tuesday,,
2023-11-22,148.364,149.747,148.017,149.533,449202650070,2,Wednesday,,
2023-11-23,149.524,149.691,148.887,149.529,279545000250,3,Thursday,,
2023-11-24,149.491,149.711,149.196,149.386,263866790370,4,Friday,,
2023-11-27,149.391,149.674,148.547,148.677,399888039750,0,Monday,0.005,0.0033
2023-11-28,148.666,148.829,147.322,147.461,504146940370,1,Tuesday,,
2023-11-29,147.464,147.902,146.67,147.238,598601209330,2,Wednesday,,
2023-11-30,147.226,148.52,146.84,148.169,567278849870,3,Thursday,,
2023-12-01,148.168,148.345,146.659,146.772,558169770620,4,Friday,,
2023-12-04,146.667,147.451,146.223,147.198,599748439050,0,Monday,-0.105,-0.0715
2023-12-05,147.197,147.388,146.558,147.146,551430439070,1,Tuesday,,
2023-12-06,147.136,147.497,146.893,147.298,444674709740,2,Wednesday,,
2023-12-07,147.298,147.3,141.615,144.092,724319459800,3,Thursday,,
2023-12-08,144.086,145.214,142.497,144.902,818820571100,4,Friday,,
2023-12-11,144.889,146.588,144.808,146.149,570057400300,0,Monday,-0.013,-0.009
2023-12-12,146.144,146.181,144.731,145.443,515331309920,1,Tuesday,,
2023-12-13,145.44,145.993,142.634,142.879,661582909980,2,Wednesday,,
2023-12-14,142.87,142.908,140.956,141.859,857124880700,3,Thursday,,
2023-12-15,141.843,142.464,141.428,142.141,697836869280,4,Friday,,
2023-12-18,142.038,143.156,142.024,142.737,535198590330,0,Monday,-0.103,-0.0725
2023-12-19,142.737,144.954,142.244,143.827,613896129630,1,Tuesday,,
2023-12-20,143.82,144.095,143.26,143.559,585326340080,2,Wednesday,,
2023-12-21,143.555,143.567,142.042,142.102,452468740350,3,Thursday,,
2023-12-22,142.102,142.662,141.864,142.412,611111351310,4,Friday,,
2023-12-25,142.26,142.479,142.101,142.346,2819910000,0,Monday,-0.152,-0.1067
2023-12-26,142.204,142.633,142.09,142.388,276685929970,1,Tuesday,,
2023-12-27,142.387,142.848,141.55,141.817,403292230650,2,Wednesday,,
2023-12-28,141.812,141.816,140.248,141.326,504456069810,3,Thursday,,
2023-12-29,141.316,141.912,140.797,140.975,451677980160,4,Friday,,
2024-01-02,140.843,142.216,140.811,141.978,325828729780,1,Tuesday,,
2024-01-03,141.971,143.731,141.856,143.281,434226300250,2,Wednesday,,
2024-01-04,143.277,144.85,142.853,144.622,499839529760,3,Thursday,,
2024-01-05,144.621,145.976,143.806,144.603,633609641000,4,Friday,,
2024-01-08,144.453,144.917,143.661,144.223,505278500610,0,Monday,-0.15,-0.1037
2024-01-09,144.223,144.623,143.419,144.464,513813219420,1,Tuesday,,
2024-01-10,144.453,145.828,144.314,145.745,423904560350,2,Wednesday,,
2024-01-11,145.742,146.414,144.968,145.273,513370659770,3,Thursday,,
2024-01-12,145.266,145.566,144.354,144.904,492709600280,4,Friday,,
2024-01-15,144.78,145.941,144.78,145.716,335265310220,0,Monday,-0.124,-0.0856
2024-01-16,145.715,147.31,145.583,147.172,632582760440,1,Tuesday,,
2024-01-17,147.173,148.524,147.048,148.142,561874950190,2,Wednesday,,
2024-01-18,148.142,148.299,147.654,148.146,540734029750,3,Thursday,,
2024-01-19,148.144,148.802,147.838,148.04,460253709940,4,Friday,,
2024-01-22,148.207,148.302,147.615,148.083,478911710180,0,Monday,0.167,0.1128
2024-01-23,148.082,148.694,146.975,148.293,442796430070,1,Tuesday,,
2024-01-24,148.303,148.391,146.648,147.494,483353379930,2,Wednesday,,
2024-01-25,147.493,147.936,147.081,147.653,548916119990,3,Thursday,,
2024-01-26,147.648,148.209,147.393,148.149,471673130050,4,Friday,,
2024-01-29,148.087,148.333,147.25,147.488,274776050020,0,Monday,-0.062,-0.0418
2024-01-30,147.487,147.926,147.096,147.593,434147320880,1,Tuesday,,
2024-01-31,147.592,147.898,146.007,146.848,535839610000,2,Wednesday,,
2024-02-01,146.858,147.114,145.896,146.407,551455598980,3,Thursday,,
2024-02-02,146.407,148.583,146.24,148.308,558426720700,4,Friday,,
2024-02-05,148.381,148.892,148.266,148.667,528280040600,0,Monday,0.073,0.0492
2024-02-06,148.667,148.787,147.815,147.934,518771780050,1,Tuesday,,
2024-02-07,147.934,148.257,147.618,148.171,406155429930,2,Wednesday,,
2024-02-08,148.171,149.477,147.93,149.307,564403810400,3,Thursday,,
2024-02-09,149.298,149.575,149.005,149.256,435958060160,4,Friday,,
2024-02-12,149.213,149.478,148.926,149.332,413327580510,0,Monday,-0.043,-0.0288
2024-02-13,149.332,150.883,149.224,150.779,423091679570,1,Tuesday,,
2024-02-14,150.764,150.782,150.343,150.534,314376300470,2,Wednesday,,
2024-02-15,150.535,150.566,149.523,149.904,343104439550,3,Thursday,,
2024-02-16,149.904,150.645,149.823,150.181,446983420160,4,Friday,,
2024-02-19,150.078,150.195,149.871,150.092,199918999990,0,Monday,-0.103,-0.0686
2024-02-20,150.077,150.437,149.683,149.994,323112700070,1,Tuesday,,
2024-02-21,149.994,150.391,149.851,150.294,334624629980,2,Wednesday,,
2024-02-22,150.295,150.688,150.015,150.519,302023999960,3,Thursday,,
2024-02-23,150.517,150.767,150.292,150.473,256400670220,4,Friday,,
2024-02-26,150.46,150.837,150.292,150.689,265209980210,0,Monday,-0.013,-0.0086
2024-02-27,150.684,150.703,150.073,150.503,211234169990,1,Tuesday,,
2024-02-28,150.495,150.842,150.373,150.681,298906799720,2,Wednesday,,
2024-02-29,150.679,150.679,149.208,149.968,311597140200,3,Thursday,,
2024-03-01,149.963,150.72,149.909,150.064,457528800200,4,Friday,,
2024-03-04,149.944,150.568,149.837,150.518,263510640050,0,Monday,-0.12,-0.08
2024-03-05,150.518,150.545,149.701,150.036,357747469520,1,Tuesday,,
2024-03-06,150.033,150.084,149.094,149.349,219065309720,2,Wednesday,,
2024-03-07,149.349,149.364,147.582,148.036,318322460570,3,Thursday,,
2024-03-08,148.037,148.117,146.481,147.03,288876989990,4,Friday,,
2024-03-10,146.915,147.117,146.897,147.059,1366559980,6,Sunday,,
2024-03-11,147.059,147.144,146.483,146.967,312907139820,0,Monday,0.0,0.0
2024-03-12,146.969,148.161,146.619,147.624,450561160200,1,Tuesday,,
2024-03-13,147.622,148.045,147.232,147.631,354538570620,2,Wednesday,,
2024-03-14,147.631,148.355,147.43,148.285,516282340820,3,Thursday,,
2024-03-15,148.283,149.163,148.03,148.982,293286399840,4,Friday,,
2024-03-17,148.944,149.066,148.943,149.066,408210000,6,Sunday,,
2024-03-18,149.066,149.328,148.907,149.107,227113460140,0,Monday,0.0,0.0
2024-03-19,149.111,150.962,149.001,150.799,419089260460,1,Tuesday,,
2024-03-20,150.807,151.816,150.715,151.2,353335820410,2,Wednesday,,
2024-03-21,151.2,151.752,150.263,151.588,292637469690,3,Thursday,,
2024-03-22,151.593,151.862,151.003,151.431,266853220040,4,Friday,,
2024-03-24,151.305,151.405,151.259,151.365,543240000,6,Sunday,,
2024-03-25,151.365,151.544,151.052,151.405,259706249690,0,Monday,0.0,0.0
2024-03-26,151.403,151.602,151.206,151.519,345826170180,1,Tuesday,,
2024-03-27,151.518,151.97,151.025,151.257,342512000250,2,Wednesday,,
2024-03-28,151.257,151.544,151.149,151.383,302573730060,3,Thursday,,
2024-03-29,151.379,151.496,151.167,151.307,113599909830,4,Friday,,
2024-04-01,151.246,151.771,151.219,151.643,237698310000,0,Monday,-0.061,-0.0403
2024-04-02,151.631,151.801,151.461,151.548,329720340490,1,Tuesday,,
2024-04-03,151.539,151.953,151.439,151.682,287963450300,2,Wednesday,,
2024-04-04,151.677,151.77,151.119,151.329,353625169820,3,Thursday,,
2024-04-05,151.326,151.75,150.81,151.617,441873370650,4,Friday,,
2024-04-08,151.569,151.941,151.54,151.778,249915689950,0,Monday,-0.048,-0.0317
2024-04-09,151.772,151.935,151.568,151.727,279493650120,1,Tuesday,,
2024-04-10,151.727,153.238,151.68,153.144,353329010070,2,Wednesday,,
2024-04-11,153.144,153.318,152.759,153.246,324560219950,3,Thursday,,
2024-04-12,153.247,153.383,152.59,153.24,294962899990,4,Friday,,
2024-04-15,153.034,154.445,152.966,154.262,321750430010,0,Monday,-0.206,-0.1344
2024-04-16,154.26,154.784,153.898,154.707,303973840150,1,Tuesday,,
2024-04-17,154.69,154.733,154.157,154.365,186498909940,2,Wednesday,,
2024-04-18,154.365,154.679,153.956,154.633,256228660120,3,Thursday,,
2024-04-19,154.628,154.672,153.586,154.562,335018509890,4,Friday,,
2024-04-22,154.547,154.848,154.387,154.831,169567960060,0,Monday,-0.015,-0.0097
2024-04-23,154.83,154.875,154.55,154.823,192145860060,1,Tuesday,,
2024-04-24,154.82,155.372,154.729,155.332,182669520200,2,Wednesday,,
2024-04-25,155.33,155.747,155.195,155.643,268849510450,3,Thursday,,
2024-04-26,155.635,158.439,154.965,158.291,316729279830,4,Friday,,
2024-04-29,157.806,160.203,154.523,156.322,475894780090,0,Monday,-0.485,-0.3064
2024-04-30,156.322,157.842,156.057,157.782,211530390160,1,Tuesday,,
2024-05-01,157.782,157.985,152.989,154.56,316093170230,2,Wednesday,,
2024-05-02,154.5,156.283,153.056,153.563,436053860040,3,Thursday,,
2024-05-03,153.538,153.767,151.857,153.008,390588400130,4,Friday,,
2024-05-06,152.886,154.005,152.764,153.902,221964830210,0,Monday,-0.122,-0.0797
2024-05-07,153.886,154.746,153.843,154.679,260253619950,1,Tuesday,,
2024-05-08,154.669,155.683,154.496,155.467,239855570080,2,Wednesday,,
2024-05-09,155.467,155.951,155.152,155.436,232842340110,3,Thursday,,
2024-05-10,155.434,155.903,155.264,155.761,229015479940,4,Friday,,
2024-05-13,155.629,156.247,155.502,156.195,192518080180,0,Monday,-0.132,-0.0847
2024-05-14,156.195,156.783,156.088,156.403,196851330120,1,Tuesday,,
2024-05-15,156.403,156.56,154.69,154.863,310264380060,2,Wednesday,,
2024-05-16,154.862,155.532,153.598,155.363,339101340370,3,Thursday,,
2024-05-17,155.363,155.977,155.247,155.603,234846270050,4,Friday,,
2024-05-20,155.534,156.301,155.493,156.239,226459450260,0,Monday,-0.069,-0.0443
2024-05-21,156.234,156.545,155.841,156.147,357878949840,1,Tuesday,,
2024-05-22,156.147,156.84,156.07,156.769,223872190320,2,Wednesday,,
2024-05-23,156.769,157.194,156.528,156.88,261570619990,3,Thursday,,
2024-05-24,156.879,157.145,156.82,156.943,178345559810,4,Friday,,
2024-05-27,156.806,156.956,156.661,156.811,132207649920,0,Monday,-0.137,-0.0873
2024-05-28,156.83,157.198,156.579,157.138,210077139900,1,Tuesday,,
2024-05-29,157.138,157.707,156.894,157.625,211424810160,2,Wednesday,,
2024-05-30,157.607,157.667,156.37,156.802,313725479910,3,Thursday,,
2024-05-31,156.778,157.364,156.557,157.279,312500199680,4,Friday,,
2024-06-03,157.124,157.47,155.948,156.037,310591199900,0,Monday,-0.155,-0.0986
2024-06-04,156.038,156.484,154.548,154.853,427050810280,1,Tuesday,,
2024-06-05,154.852,156.485,154.769,156.078,382644280080,2,Wednesday,,
2024-06-06,156.079,156.445,155.354,155.58,264978210070,3,Thursday,,
2024-06-07,155.58,157.076,155.119,156.7,380936910520,4,Friday,,
2024-06-10,156.717,157.193,156.564,157.001,296185149920,0,Monday,0.017,0.0108
2024-06-11,157.001,157.402,156.803,157.078,322421980360,1,Tuesday,,
2024-06-12,157.077,157.37,155.716,156.679,378041249490,2,Wednesday,,
2024-06-13,156.68,157.311,156.552,156.973,366512200870,3,Thursday,,
2024-06-14,156.972,158.255,156.795,157.36,449670350040,4,Friday,,
2024-06-17,157.253,157.959,157.155,157.698,275670370110,0,Monday,-0.107,-0.068
2024-06-18,157.708,158.229,157.515,157.833,219718830000,1,Tuesday,,
2024-06-19,157.834,158.131,157.602,158.069,131455140080,2,Wednesday,,
2024-06-20,158.071,158.934,157.773,158.895,231139820220,3,Thursday,,
2024-06-21,158.893,159.835,158.669,159.765,261391870050,4,Friday,,
2024-06-24,159.751,159.927,158.74,159.568,240243000170,0,Monday,-0.014,-0.0088
2024-06-25,159.516,159.756,159.186,159.652,253909389990,1,Tuesday,,
2024-06-26,159.652,160.865,159.607,160.789,273561169790,2,Wednesday,,
2024-06-27,160.789,160.822,160.28,160.737,279078799710,3,Thursday,,
2024-06-28,160.724,161.282,160.261,160.802,361025419870,4,Friday,,
2024-07-01,160.811,161.728,160.683,161.421,262818989720,0,Monday,0.009,0.0056
2024-07-02,161.421,161.742,161.266,161.41,195741330270,1,Tuesday,,
2024-07-03,161.411,161.949,160.768,161.683,242257660290,2,Wednesday,,
2024-07-04,161.647,161.673,160.946,161.212,164704640120,3,Thursday,,
2024-07-05,161.225,161.395,160.33,160.719,269425369940,4,Friday,,
2024-07-08,160.721,161.117,160.26,160.796,323000009610,0,Monday,0.002,0.0012
2024-07-09,160.796,161.515,160.728,161.27,255077809420,1,Tuesday,,
2024-07-10,161.276,161.804,161.244,161.664,221463480130,2,Wednesday,,
2024-07-11,161.664,161.758,157.409,158.775,288471610260,3,Thursday,,
2024-07-12,158.808,159.445,157.359,157.7,351999690170,4,Friday,,
2024-07-15,158.068,158.419,157.163,158.012,331683440250,0,Monday,0.368,0.2334
2024-07-16,157.989,158.854,157.952,158.318,291945059590,1,Tuesday,,
2024-07-17,158.307,158.624,156.059,156.177,464643829670,2,Wednesday,,
2024-07-18,156.169,157.397,155.37,157.359,482699590370,3,Thursday,,
2024-07-19,157.356,157.862,156.952,157.475,350215559770,4,Friday,,
2024-07-22,157.329,157.61,156.284,157.001,422387670460,0,Monday,-0.146,-0.0927
2024-07-23,157.001,157.101,155.546,155.552,436417100090,1,Tuesday,,
2024-07-24,155.552,155.99,153.105,153.85,555501910160,2,Wednesday,,
2024-07-25,153.848,154.318,151.941,153.907,531847509210,3,Thursday,,
2024-07-26,153.907,154.737,153.096,153.718,531045319630,4,Friday,,
2024-07-29,153.652,154.351,153.014,154.01,589639339750,0,Monday,-0.066,-0.0429
2024-07-30,154.01,155.213,152.645,152.756,483397079620,1,Tuesday,,
2024-07-31,152.698,153.894,149.606,149.956,805368050020,2,Wednesday,,
2024-08-01,149.941,150.89,148.508,149.356,801653090890,3,Thursday,,
2024-08-02,149.355,149.772,146.417,146.498,804523140040,4,Friday,,
2024-08-05,146.441,146.563,141.676,144.137,848231849190,0,Monday,-0.057,-0.0389
2024-08-06,144.129,146.365,143.619,144.296,591869300060,1,Tuesday,,
2024-08-07,144.296,147.897,144.153,146.656,546945459980,2,Wednesday,,
2024-08-08,146.653,147.542,145.426,147.261,806457570930,3,Thursday,,
2024-08-09,147.174,147.813,146.267,146.634,709920520640,4,Friday,,
2024-08-12,146.484,148.222,146.468,147.177,580207510570,0,Monday,-0.15,-0.1023
2024-08-13,147.176,147.945,146.596,146.814,609353979400,1,Tuesday,,
2024-08-14,146.812,147.578,146.068,147.31,405335719730,2,Wednesday,,
2024-08-15,147.308,149.396,147.053,149.263,332197670070,3,Thursday,,
2024-08-16,149.267,149.33,147.569,147.587,473213820730,4,Friday,,
2024-08-19,147.555,148.051,145.182,146.582,567241260200,0,Monday,-0.032,-0.0217
2024-08-20,146.576,147.345,145.198,145.235,563977420570,1,Tuesday,,
2024-08-21,145.235,146.889,144.45,145.259,562304210210,2,Wednesday,,
2024-08-22,145.224,146.525,144.843,146.257,415881269970,3,Thursday,,
2024-08-23,146.257,146.481,144.047,144.352,339897060360,4,Friday,,
2024-08-26,144.227,144.652,143.444,144.512,397488219880,0,Monday,-0.125,-0.0866
2024-08-27,144.508,145.175,143.916,143.926,453243060010,1,Tuesday,,
2024-08-28,143.926,145.036,143.679,144.572,490156389880,2,Wednesday,,
2024-08-29,144.573,145.553,144.218,144.954,577173090500,3,Thursday,,
2024-08-30,144.942,146.246,144.653,146.113,465391219410,4,Friday,,
2024-09-02,145.971,147.172,145.773,146.864,321065770230,0,Monday,-0.142,-0.0972
2024-09-03,146.852,147.207,145.097,145.454,582754570030,1,Tuesday,,
2024-09-04,145.446,145.556,143.708,143.724,586706440220,2,Wednesday,,
2024-09-05,143.721,144.228,142.847,143.429,612486569850,3,Thursday,,
2024-09-06,143.422,144.041,141.762,142.251,682792270050,4,Friday,,
2024-09-09,142.172,143.795,141.948,143.153,576853019510,0,Monday,-0.079,-0.0555
2024-09-10,143.147,143.708,142.192,142.422,468439909850,1,Tuesday,,
2024-09-11,142.401,142.546,140.707,142.341,683989320190,2,Wednesday,,
2024-09-12,142.337,143.044,141.722,141.791,658565950600,3,Thursday,,
2024-09-13,141.791,141.874,140.281,140.78,587634020030,4,Friday,,
2024-09-16,140.704,140.912,139.576,140.599,567103609920,0,Monday,-0.076,-0.054
2024-09-17,140.593,142.464,140.32,142.392,579263660300,1,Tuesday,,
2024-09-18,142.39,142.711,140.435,142.269,577718759720,2,Wednesday,,
2024-09-19,142.261,143.944,141.876,142.61,685289790160,3,Thursday,,
2024-09-20,142.605,144.495,141.736,143.808,686916299530,4,Friday,,
2024-09-23,143.754,144.459,143.162,143.594,582022270300,0,Monday,-0.054,-0.0376
2024-09-24,143.592,144.679,143.111,143.211,489113849830,1,Tuesday,,
2024-09-25,143.207,144.841,142.887,144.739,471771770250,2,Wednesday,,
2024-09-26,144.739,145.212,144.109,144.784,532222531080,3,Thursday,,
2024-09-27,144.775,146.491,142.066,142.15,525641160090,4,Friday,,
2024-09-30,142.129,143.915,141.642,143.626,593507840140,0,Monday,-0.021,-0.0148
